frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Aug 13 2019 19:24:04.113785000 MST,0,0,22,2,1
2,Aug 13 2019 19:24:04.123924000 MST,0.010139,0.010139,22,70,0
3,Aug 13 2019 19:24:04.137998000 MST,0.014074,0.024213,56,70,1
4,Aug 13 2019 19:24:04.168868000 MST,0.03087,0.055083,172,70,0
5,Aug 13 2019 19:24:04.169879000 MST,0.001011,0.056094,76,70,1
6,Aug 13 2019 19:24:04.188889000 MST,0.01901,0.075104,548,70,0
7,Aug 13 2019 19:24:04.328906000 MST,0.140017,0.215121,548,70,0
8,Aug 13 2019 19:24:04.329857000 MST,0.000951,0.216072,47,70,1
9,Aug 13 2019 19:24:04.330971000 MST,0.001114,0.217186,43,70,1
10,Aug 13 2019 19:24:04.348944000 MST,0.017973,0.235159,548,70,0
11,Aug 13 2019 19:24:04.349956000 MST,0.001012,0.236171,41,70,1
12,Aug 13 2019 19:24:04.368996000 MST,0.01904,0.255211,532,70,0
13,Aug 13 2019 19:24:04.369799000 MST,0.000803,0.256014,22,70,1
14,Aug 13 2019 19:24:04.370867000 MST,0.001068,0.257082,33,70,1
15,Aug 13 2019 19:24:04.388871000 MST,0.018004,0.275086,532,70,0
16,Aug 13 2019 19:24:04.389887000 MST,0.001016,0.276102,120,70,1
17,Aug 13 2019 19:24:04.390940000 MST,0.001053,0.277155,120,70,1
18,Aug 13 2019 19:24:04.408922000 MST,0.017982,0.295137,548,70,0
19,Aug 13 2019 19:24:04.409914000 MST,0.000992,0.296129,22,70,1
20,Aug 13 2019 19:24:04.428974000 MST,0.01906,0.315189,548,70,0
21,Aug 13 2019 19:24:04.429824000 MST,0.00085,0.316039,22,70,1
22,Aug 13 2019 19:24:04.593914000 MST,0.16409,0.480129,72,70,1
23,Aug 13 2019 19:24:04.608891000 MST,0.014977,0.495106,548,70,0
24,Aug 13 2019 19:24:04.949025000 MST,0.340134,0.83524,532,70,0
25,Aug 13 2019 19:24:04.961904000 MST,0.012879,0.848119,100,70,1
26,Aug 13 2019 19:24:04.968853000 MST,0.006949,0.855068,548,70,0
27,Aug 13 2019 19:24:04.988925000 MST,0.020072,0.87514,548,70,0
28,Aug 13 2019 19:24:05.005912000 MST,0.016987,0.892127,72,70,1
29,Aug 13 2019 19:24:05.007886000 MST,0.001974,0.894101,200,70,1
30,Aug 13 2019 19:24:05.029932000 MST,0.022046,0.916147,3077,70,1
31,Aug 13 2019 19:24:05.048950000 MST,0.019018,0.935165,548,70,0
32,Aug 13 2019 19:24:05.061010000 MST,0.01206,0.947225,88,70,1
33,Aug 13 2019 19:24:05.061970000 MST,0.00096,0.948185,88,70,1
34,Aug 13 2019 19:24:05.069058000 MST,0.007088,0.955273,548,70,0
35,Aug 13 2019 19:24:05.081874000 MST,0.012816,0.968089,364,70,1
36,Aug 13 2019 19:24:05.089029000 MST,0.007155,0.975244,548,70,0
37,Aug 13 2019 19:24:05.097891000 MST,0.008862,0.984106,548,70,0
38,Aug 13 2019 19:24:05.101890000 MST,0.003999,0.988105,72,70,1
39,Aug 13 2019 19:24:05.102946000 MST,0.001056,0.989161,160,70,1
40,Aug 13 2019 19:24:05.107026000 MST,0.00408,0.993241,790,70,0
41,Aug 13 2019 19:24:05.110962000 MST,0.003936,0.997177,72,70,1
42,Aug 13 2019 19:24:05.111854000 MST,0.000892,0.998069,240,70,1
43,Aug 13 2019 19:24:05.122837000 MST,0.010983,1.009052,72,70,1
44,Aug 13 2019 19:24:05.145906000 MST,0.023069,1.032121,188,70,1
45,Aug 13 2019 19:24:05.147868000 MST,0.001962,1.034083,240,70,1
46,Aug 13 2019 19:24:05.149000000 MST,0.001132,1.035215,548,70,0
47,Aug 13 2019 19:24:05.168857000 MST,0.019857,1.055072,548,70,0
48,Aug 13 2019 19:24:05.180858000 MST,0.012001,1.067073,72,70,1
49,Aug 13 2019 19:24:05.188852000 MST,0.007994,1.075067,548,70,0
50,Aug 13 2019 19:24:05.200963000 MST,0.012111,1.087178,88,70,1
51,Aug 13 2019 19:24:05.201799000 MST,0.000836,1.088014,72,70,1
52,Aug 13 2019 19:24:05.208952000 MST,0.007153,1.095167,548,70,0
53,Aug 13 2019 19:24:05.228999000 MST,0.020047,1.115214,548,70,0
54,Aug 13 2019 19:24:05.237830000 MST,0.008831,1.124045,128,70,0
55,Aug 13 2019 19:24:05.241884000 MST,0.004054,1.128099,72,70,1
56,Aug 13 2019 19:24:05.250930000 MST,0.009046,1.137145,308,70,1
57,Aug 13 2019 19:24:05.267794000 MST,0.016864,1.154009,3837,70,1
58,Aug 13 2019 19:24:05.288960000 MST,0.021166,1.175175,548,70,0
59,Aug 13 2019 19:24:05.309099000 MST,0.020139,1.195314,548,70,0
60,Aug 13 2019 19:24:05.321901000 MST,0.012802,1.208116,128,70,1
61,Aug 13 2019 19:24:05.348909000 MST,0.027008,1.235124,548,70,0
62,Aug 13 2019 19:24:05.358235000 MST,0.009326,1.24445,1635,70,0
63,Aug 13 2019 19:24:05.370885000 MST,0.01265,1.2571,72,70,1
64,Aug 13 2019 19:24:05.408829000 MST,0.037944,1.295044,1851,70,1
65,Aug 13 2019 19:24:05.429080000 MST,0.020251,1.315295,548,70,0
66,Aug 13 2019 19:24:05.468912000 MST,0.039832,1.355127,548,70,0
67,Aug 13 2019 19:24:05.688866000 MST,0.219954,1.575081,548,70,0
68,Aug 13 2019 19:24:05.701798000 MST,0.012932,1.588013,88,70,1
69,Aug 13 2019 19:24:05.728997000 MST,0.027199,1.615212,548,70,0
70,Aug 13 2019 19:24:05.982861000 MST,0.253864,1.869076,1398,70,1
71,Aug 13 2019 19:24:06.008953000 MST,0.026092,1.895168,548,70,0
72,Aug 13 2019 19:24:06.021882000 MST,0.012929,1.908097,1851,70,1
73,Aug 13 2019 19:24:06.048878000 MST,0.026996,1.935093,548,70,0
74,Aug 13 2019 19:24:06.061809000 MST,0.012931,1.948024,420,70,1
75,Aug 13 2019 19:24:06.088977000 MST,0.027168,1.975192,548,70,0
76,Aug 13 2019 19:24:06.104891000 MST,0.015914,1.991106,72,70,1
77,Aug 13 2019 19:24:06.127781000 MST,0.02289,2.013996,308,70,1
78,Aug 13 2019 19:24:06.128898000 MST,0.001117,2.015113,548,70,0
79,Aug 13 2019 19:24:06.148951000 MST,0.020053,2.035166,548,70,0
80,Aug 13 2019 19:24:06.164867000 MST,0.015916,2.051082,88,70,1
81,Aug 13 2019 19:24:06.168802000 MST,0.003935,2.055017,548,70,0
82,Aug 13 2019 19:24:06.185822000 MST,0.01702,2.072037,72,70,1
83,Aug 13 2019 19:24:06.188849000 MST,0.003027,2.075064,548,70,0
84,Aug 13 2019 19:24:06.207819000 MST,0.01897,2.094034,340,70,1
85,Aug 13 2019 19:24:06.208891000 MST,0.001072,2.095106,548,70,0
86,Aug 13 2019 19:24:06.221833000 MST,0.012942,2.108048,72,70,1
87,Aug 13 2019 19:24:06.248840000 MST,0.027007,2.135055,548,70,0
88,Aug 13 2019 19:24:06.249864000 MST,0.001024,2.136079,3837,70,1
89,Aug 13 2019 19:24:06.260916000 MST,0.011052,2.147131,88,70,1
90,Aug 13 2019 19:24:06.268921000 MST,0.008005,2.155136,548,70,0
91,Aug 13 2019 19:24:06.288963000 MST,0.020042,2.175178,548,70,0
92,Aug 13 2019 19:24:06.309011000 MST,0.020048,2.195226,548,70,0
93,Aug 13 2019 19:24:06.321915000 MST,0.012904,2.20813,188,70,1
94,Aug 13 2019 19:24:06.348851000 MST,0.026936,2.235066,2976,70,1
95,Aug 13 2019 19:24:06.368971000 MST,0.02012,2.255186,548,70,0
96,Aug 13 2019 19:24:06.378030000 MST,0.009059,2.264245,1707,70,0
97,Aug 13 2019 19:24:06.379004000 MST,0.000974,2.265219,1707,70,0
98,Aug 13 2019 19:24:06.379977000 MST,0.000973,2.266192,660,70,0
99,Aug 13 2019 19:24:06.386968000 MST,0.006991,2.273183,1707,70,0
100,Aug 13 2019 19:24:06.388060000 MST,0.001092,2.274275,1707,70,0
101,Aug 13 2019 19:24:06.390920000 MST,0.00286,2.277135,72,70,1
102,Aug 13 2019 19:24:06.392845000 MST,0.001925,2.27906,72,70,1
103,Aug 13 2019 19:24:06.408879000 MST,0.016034,2.295094,548,70,0
104,Aug 13 2019 19:24:06.421832000 MST,0.012953,2.308047,128,70,1
105,Aug 13 2019 19:24:06.468914000 MST,0.047082,2.355129,548,70,0
106,Aug 13 2019 19:24:06.478048000 MST,0.009134,2.364263,1707,70,0
107,Aug 13 2019 19:24:06.479075000 MST,0.001027,2.36529,1707,70,0
108,Aug 13 2019 19:24:06.479987000 MST,0.000912,2.366202,1707,70,0
109,Aug 13 2019 19:24:06.481036000 MST,0.001049,2.367251,1542,70,0
110,Aug 13 2019 19:24:06.482236000 MST,0.0012,2.368451,1707,70,0
111,Aug 13 2019 19:24:06.483017000 MST,0.000781,2.369232,1707,70,0
112,Aug 13 2019 19:24:06.484071000 MST,0.001054,2.370286,1707,70,0
113,Aug 13 2019 19:24:06.484791000 MST,0.00072,2.371006,404,70,0
114,Aug 13 2019 19:24:06.487061000 MST,0.00227,2.373276,1707,70,0
