frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
1,Aug 13 2019 20:25:29.991068000 MST,0.000000000,22,2,1
2,Aug 13 2019 20:25:30.001205000 MST,0.010137000,22,70,0
3,Aug 13 2019 20:25:30.015218000 MST,0.014013000,56,70,1
4,Aug 13 2019 20:25:30.036219000 MST,0.021001000,172,70,0
5,Aug 13 2019 20:25:30.037179000 MST,0.000960000,34,70,1
6,Aug 13 2019 20:25:30.038090000 MST,0.000911000,34,70,1
7,Aug 13 2019 20:25:30.056243000 MST,0.018153000,548,70,0
8,Aug 13 2019 20:25:30.096157000 MST,0.039914000,548,70,0
9,Aug 13 2019 20:25:30.097162000 MST,0.001005000,72,70,1
10,Aug 13 2019 20:25:30.116193000 MST,0.019031000,548,70,0
11,Aug 13 2019 20:25:30.256190000 MST,0.139997000,548,70,0
12,Aug 13 2019 20:25:30.257015000 MST,0.000825000,47,70,1
13,Aug 13 2019 20:25:30.258102000 MST,0.001087000,43,70,1
14,Aug 13 2019 20:25:30.276230000 MST,0.018128000,548,70,0
15,Aug 13 2019 20:25:30.277068000 MST,0.000838000,41,70,1
16,Aug 13 2019 20:25:30.296120000 MST,0.019052000,548,70,0
17,Aug 13 2019 20:25:30.297121000 MST,0.001001000,33,70,1
18,Aug 13 2019 20:25:30.316155000 MST,0.019034000,548,70,0
19,Aug 13 2019 20:25:30.317158000 MST,0.001003000,120,70,1
20,Aug 13 2019 20:25:30.318073000 MST,0.000915000,120,70,1
21,Aug 13 2019 20:25:30.336199000 MST,0.018126000,548,70,0
22,Aug 13 2019 20:25:30.337029000 MST,0.000830000,22,70,1
23,Aug 13 2019 20:25:30.356067000 MST,0.019038000,548,70,0
24,Aug 13 2019 20:25:30.357082000 MST,0.001015000,22,70,1
25,Aug 13 2019 20:25:30.525133000 MST,0.168051000,72,70,1
26,Aug 13 2019 20:25:30.556233000 MST,0.031100000,548,70,0
27,Aug 13 2019 20:25:30.996293000 MST,0.440060000,548,70,0
28,Aug 13 2019 20:25:31.012188000 MST,0.015895000,88,70,1
29,Aug 13 2019 20:25:31.016122000 MST,0.003934000,548,70,0
30,Aug 13 2019 20:25:31.036166000 MST,0.020044000,548,70,0
31,Aug 13 2019 20:25:31.049070000 MST,0.012904000,72,70,1
32,Aug 13 2019 20:25:31.055107000 MST,0.006037000,100,70,1
33,Aug 13 2019 20:25:31.056225000 MST,0.001118000,548,70,0
34,Aug 13 2019 20:25:31.056244000 MST,0.000019000,120,70,1
35,Aug 13 2019 20:25:31.076094000 MST,0.019850000,548,70,0
36,Aug 13 2019 20:25:31.076127000 MST,0.000033000,2784,70,1
37,Aug 13 2019 20:25:31.078160000 MST,0.002033000,420,70,1
38,Aug 13 2019 20:25:31.088115000 MST,0.009955000,88,70,1
39,Aug 13 2019 20:25:31.089154000 MST,0.001039000,120,70,1
40,Aug 13 2019 20:25:31.096144000 MST,0.006990000,548,70,0
41,Aug 13 2019 20:25:31.104095000 MST,0.007951000,128,70,1
42,Aug 13 2019 20:25:31.108167000 MST,0.004072000,88,70,1
43,Aug 13 2019 20:25:31.116187000 MST,0.008020000,548,70,0
44,Aug 13 2019 20:25:31.120047000 MST,0.003860000,88,70,1
45,Aug 13 2019 20:25:31.125220000 MST,0.005173000,404,70,0
46,Aug 13 2019 20:25:31.129074000 MST,0.003854000,420,70,1
47,Aug 13 2019 20:25:31.134175000 MST,0.005101000,660,70,0
48,Aug 13 2019 20:25:31.138151000 MST,0.003976000,72,70,1
49,Aug 13 2019 20:25:31.139020000 MST,0.000869000,240,70,1
50,Aug 13 2019 20:25:31.143177000 MST,0.004157000,918,70,0
51,Aug 13 2019 20:25:31.147207000 MST,0.004030000,72,70,1
52,Aug 13 2019 20:25:31.148090000 MST,0.000883000,160,70,1
53,Aug 13 2019 20:25:31.156116000 MST,0.008026000,548,70,0
54,Aug 13 2019 20:25:31.168151000 MST,0.012035000,72,70,1
55,Aug 13 2019 20:25:31.175039000 MST,0.006888000,88,70,1
56,Aug 13 2019 20:25:31.176163000 MST,0.001124000,548,70,0
57,Aug 13 2019 20:25:31.182132000 MST,0.005969000,188,70,1
58,Aug 13 2019 20:25:31.196205000 MST,0.014073000,548,70,0
59,Aug 13 2019 20:25:31.208073000 MST,0.011868000,72,70,1
60,Aug 13 2019 20:25:31.216079000 MST,0.008006000,548,70,0
61,Aug 13 2019 20:25:31.224198000 MST,0.008119000,232,70,1
62,Aug 13 2019 20:25:31.225087000 MST,0.000889000,216,70,0
63,Aug 13 2019 20:25:31.228098000 MST,0.003011000,232,70,1
64,Aug 13 2019 20:25:31.229155000 MST,0.001057000,72,70,1
65,Aug 13 2019 20:25:31.239089000 MST,0.009934000,88,70,1
66,Aug 13 2019 20:25:31.256181000 MST,0.017092000,548,70,0
67,Aug 13 2019 20:25:31.265232000 MST,0.009051000,732,70,0
68,Aug 13 2019 20:25:31.266064000 MST,0.000832000,284,70,1
69,Aug 13 2019 20:25:31.277061000 MST,0.010997000,72,70,1
70,Aug 13 2019 20:25:31.278137000 MST,0.001076000,232,70,1
71,Aug 13 2019 20:25:31.283079000 MST,0.004942000,232,70,1
72,Aug 13 2019 20:25:31.287190000 MST,0.004111000,216,70,1
73,Aug 13 2019 20:25:31.296116000 MST,0.008926000,548,70,0
74,Aug 13 2019 20:25:31.316156000 MST,0.020040000,548,70,0
75,Aug 13 2019 20:25:31.328194000 MST,0.012038000,72,70,1
76,Aug 13 2019 20:25:31.329034000 MST,0.000840000,72,70,1
77,Aug 13 2019 20:25:31.341101000 MST,0.012067000,72,70,1
78,Aug 13 2019 20:25:31.356078000 MST,0.014977000,548,70,0
79,Aug 13 2019 20:25:31.368111000 MST,0.012033000,72,70,1
80,Aug 13 2019 20:25:31.376119000 MST,0.008008000,548,70,0
81,Aug 13 2019 20:25:31.396168000 MST,0.020049000,548,70,0
82,Aug 13 2019 20:25:31.408198000 MST,0.012030000,72,70,1
83,Aug 13 2019 20:25:31.413143000 MST,0.004945000,284,70,1
84,Aug 13 2019 20:25:31.416209000 MST,0.003066000,72,70,1
85,Aug 13 2019 20:25:31.423070000 MST,0.006861000,108,70,1
86,Aug 13 2019 20:25:31.428074000 MST,0.005004000,388,70,1
87,Aug 13 2019 20:25:31.455012000 MST,0.026938000,364,70,1
88,Aug 13 2019 20:25:31.466035000 MST,0.011023000,160,70,1
89,Aug 13 2019 20:25:31.476187000 MST,0.010152000,548,70,0
90,Aug 13 2019 20:25:31.496245000 MST,0.020058000,548,70,0
91,Aug 13 2019 20:25:31.616202000 MST,0.119957000,548,70,0
92,Aug 13 2019 20:25:31.680185000 MST,0.063983000,88,70,1
93,Aug 13 2019 20:25:31.716095000 MST,0.035910000,548,70,0
94,Aug 13 2019 20:25:31.725122000 MST,0.009027000,56,70,0
95,Aug 13 2019 20:25:31.793074000 MST,0.067952000,256,70,1
96,Aug 13 2019 20:25:31.816165000 MST,0.023091000,548,70,0
97,Aug 13 2019 20:25:31.816173000 MST,0.000008000,732,70,1
98,Aug 13 2019 20:25:31.836210000 MST,0.020037000,548,70,0
99,Aug 13 2019 20:25:31.896181000 MST,0.059971000,548,70,0
100,Aug 13 2019 20:25:32.125167000 MST,0.228986000,72,70,1
101,Aug 13 2019 20:25:32.290017000 MST,0.164850000,148,70,1
102,Aug 13 2019 20:25:32.316162000 MST,0.026145000,548,70,0
103,Aug 13 2019 20:25:32.336199000 MST,0.020037000,548,70,0
104,Aug 13 2019 20:25:32.345039000 MST,0.008840000,208,70,0
105,Aug 13 2019 20:25:32.528150000 MST,0.183111000,72,70,1
106,Aug 13 2019 20:25:32.532027000 MST,0.003877000,248,70,1
107,Aug 13 2019 20:25:32.541065000 MST,0.009038000,612,70,1
108,Aug 13 2019 20:25:32.576098000 MST,0.035033000,548,70,0
109,Aug 13 2019 20:25:32.585104000 MST,0.009006000,216,70,0
110,Aug 13 2019 20:25:32.652140000 MST,0.067036000,248,70,1
111,Aug 13 2019 20:25:32.676167000 MST,0.024027000,548,70,0
112,Aug 13 2019 20:25:32.781128000 MST,0.104961000,72,70,1
113,Aug 13 2019 20:25:32.805074000 MST,0.023946000,72,70,1
114,Aug 13 2019 20:25:32.997117000 MST,0.192043000,72,70,1
115,Aug 13 2019 20:25:33.016122000 MST,0.019005000,548,70,0
116,Aug 13 2019 20:25:41.696149000 MST,8.680027000,548,70,0
117,Aug 13 2019 20:25:41.759955000 MST,0.063806000,72,70,1
118,Aug 13 2019 20:25:41.761014000 MST,0.001059000,176,70,1
119,Aug 13 2019 20:25:41.836145000 MST,0.075131000,548,70,0
120,Aug 13 2019 20:26:00.076057000 MST,18.239912000,548,70,0
121,Aug 13 2019 20:26:00.139895000 MST,0.063838000,78,70,1
122,Aug 13 2019 20:26:00.155953000 MST,0.016058000,548,70,0
123,Aug 13 2019 20:26:00.159924000 MST,0.003971000,200,70,1
124,Aug 13 2019 20:26:00.196055000 MST,0.036131000,548,70,0
125,Aug 13 2019 20:26:00.304941000 MST,0.108886000,72,70,1
126,Aug 13 2019 20:26:01.195991000 MST,0.891050000,548,70,0
127,Aug 13 2019 20:26:01.259981000 MST,0.063990000,232,70,1
128,Aug 13 2019 20:26:01.335983000 MST,0.076002000,548,70,0
129,Aug 13 2019 20:26:20.355885000 MST,19.019902000,548,70,0
130,Aug 13 2019 20:26:20.419885000 MST,0.064000000,176,70,1
131,Aug 13 2019 20:26:20.455778000 MST,0.035893000,548,70,0
132,Aug 13 2019 20:26:26.483795000 MST,6.028017000,548,70,0
133,Aug 13 2019 20:26:26.553788000 MST,0.069993000,176,70,1
134,Aug 13 2019 20:26:26.575925000 MST,0.022137000,564,70,0
135,Aug 13 2019 20:26:26.680838000 MST,0.104913000,72,70,1
136,Aug 13 2019 20:26:39.615756000 MST,12.934918000,564,70,0
137,Aug 13 2019 20:26:39.679705000 MST,0.063949000,232,70,1
138,Aug 13 2019 20:26:39.755685000 MST,0.075980000,532,70,0
139,Aug 13 2019 20:26:58.775583000 MST,19.019898000,548,70,0
140,Aug 13 2019 20:26:58.839617000 MST,0.064034000,176,70,1
141,Aug 13 2019 20:26:58.875642000 MST,0.036025000,548,70,0
142,Aug 13 2019 20:27:09.795542000 MST,10.919900000,548,70,0
143,Aug 13 2019 20:27:09.851559000 MST,0.056017000,72,70,1
144,Aug 13 2019 20:27:09.875562000 MST,0.024003000,548,70,0
145,Aug 13 2019 20:27:09.887630000 MST,0.012068000,72,70,1
146,Aug 13 2019 20:27:09.932467000 MST,0.044837000,120,70,1
147,Aug 13 2019 20:27:09.995504000 MST,0.063037000,548,70,0
148,Aug 13 2019 20:27:13.264417000 MST,3.268913000,72,70,1
149,Aug 13 2019 20:27:13.295516000 MST,0.031099000,548,70,0
150,Aug 13 2019 20:27:17.915424000 MST,4.619908000,548,70,0
151,Aug 13 2019 20:27:17.980498000 MST,0.065074000,176,70,1
152,Aug 13 2019 20:27:18.015496000 MST,0.034998000,548,70,0
153,Aug 13 2019 20:27:22.015546000 MST,4.000050000,532,70,0
154,Aug 13 2019 20:27:22.084472000 MST,0.068926000,176,70,1
155,Aug 13 2019 20:27:22.115572000 MST,0.031100000,548,70,0
156,Aug 13 2019 20:27:22.220389000 MST,0.104817000,72,70,1
157,Aug 13 2019 20:27:37.155369000 MST,14.934980000,548,70,0
158,Aug 13 2019 20:27:37.219415000 MST,0.064046000,232,70,1
159,Aug 13 2019 20:27:37.295354000 MST,0.075939000,548,70,0
160,Aug 13 2019 20:27:56.315255000 MST,19.019901000,548,70,0
161,Aug 13 2019 20:27:56.387284000 MST,0.072029000,164,70,1
162,Aug 13 2019 20:27:56.415318000 MST,0.028034000,548,70,0
163,Aug 13 2019 20:28:15.475157000 MST,19.059839000,548,70,0
164,Aug 13 2019 20:28:15.539163000 MST,0.064006000,164,70,1
165,Aug 13 2019 20:28:15.575281000 MST,0.036118000,548,70,0
166,Aug 13 2019 20:28:17.595085000 MST,2.019804000,548,70,0
167,Aug 13 2019 20:28:17.666196000 MST,0.071111000,164,70,1
168,Aug 13 2019 20:28:17.695153000 MST,0.028957000,548,70,0
169,Aug 13 2019 20:28:17.804073000 MST,0.108920000,72,70,1
170,Aug 13 2019 20:28:31.735155000 MST,13.931082000,548,70,0
171,Aug 13 2019 20:28:31.805020000 MST,0.069865000,164,70,1
172,Aug 13 2019 20:28:31.835055000 MST,0.030035000,548,70,0
173,Aug 13 2019 20:28:34.835063000 MST,3.000008000,548,70,0
174,Aug 13 2019 20:28:34.899070000 MST,0.064007000,72,70,1
175,Aug 13 2019 20:28:34.901024000 MST,0.001954000,164,70,1
176,Aug 13 2019 20:28:34.975057000 MST,0.074033000,548,70,0
177,Aug 13 2019 20:28:53.994937000 MST,19.019880000,548,70,0
178,Aug 13 2019 20:28:54.058942000 MST,0.064005000,164,70,1
179,Aug 13 2019 20:28:54.095005000 MST,0.036063000,548,70,0
180,Aug 13 2019 20:29:13.154848000 MST,19.059843000,548,70,0
181,Aug 13 2019 20:29:13.163909000 MST,0.009061000,128,70,0
182,Aug 13 2019 20:29:13.218849000 MST,0.054940000,164,70,1
183,Aug 13 2019 20:29:13.236790000 MST,0.017941000,164,70,1
184,Aug 13 2019 20:29:13.254969000 MST,0.018179000,548,70,0
185,Aug 13 2019 20:29:13.274844000 MST,0.019875000,548,70,0
186,Aug 13 2019 20:29:13.379842000 MST,0.104998000,72,70,1
187,Aug 13 2019 20:29:31.159694000 MST,17.779852000,72,70,1
188,Aug 13 2019 20:29:31.234743000 MST,0.075049000,548,70,0
189,Aug 13 2019 20:29:31.286724000 MST,0.051981000,72,70,1
190,Aug 13 2019 20:29:31.354687000 MST,0.067963000,548,70,0
191,Aug 13 2019 20:29:32.254788000 MST,0.900101000,548,70,0
192,Aug 13 2019 20:29:32.314778000 MST,0.059990000,548,70,0
193,Aug 13 2019 20:29:32.378779000 MST,0.064001000,232,70,1
194,Aug 13 2019 20:29:32.454779000 MST,0.076000000,548,70,0
195,Aug 13 2019 20:29:34.414883000 MST,1.960104000,548,70,0
196,Aug 13 2019 20:29:38.454709000 MST,4.039826000,548,70,0
197,Aug 13 2019 20:29:39.937618000 MST,1.482909000,120,70,1
198,Aug 13 2019 20:29:39.974747000 MST,0.037129000,548,70,0
199,Aug 13 2019 20:29:39.986628000 MST,0.011881000,72,70,1
200,Aug 13 2019 20:29:40.014665000 MST,0.028037000,548,70,0
201,Aug 13 2019 20:29:40.026726000 MST,0.012061000,72,70,1
202,Aug 13 2019 20:29:46.574624000 MST,6.547898000,548,70,0
203,Aug 13 2019 20:29:51.474673000 MST,4.900049000,548,70,0
204,Aug 13 2019 20:29:51.538675000 MST,0.064002000,164,70,1
205,Aug 13 2019 20:29:51.574576000 MST,0.035901000,548,70,0
206,Aug 13 2019 20:30:01.972599000 MST,10.398023000,188,70,1
207,Aug 13 2019 20:30:02.014524000 MST,0.041925000,548,70,0
208,Aug 13 2019 20:30:02.123590000 MST,0.109066000,72,70,1
209,Aug 13 2019 20:30:04.054611000 MST,1.931021000,548,70,0
210,Aug 13 2019 20:30:04.842524000 MST,0.787913000,148,70,1
211,Aug 13 2019 20:30:04.848560000 MST,0.006036000,208,70,1
212,Aug 13 2019 20:30:04.874508000 MST,0.025948000,548,70,0
213,Aug 13 2019 20:30:04.883535000 MST,0.009027000,300,70,0
214,Aug 13 2019 20:30:04.892601000 MST,0.009066000,588,70,0
215,Aug 13 2019 20:30:04.947560000 MST,0.054959000,72,70,1
216,Aug 13 2019 20:30:04.956453000 MST,0.008893000,72,70,1
217,Aug 13 2019 20:30:04.966586000 MST,0.010133000,188,70,1
218,Aug 13 2019 20:30:04.980560000 MST,0.013974000,72,70,1
219,Aug 13 2019 20:30:04.994627000 MST,0.014067000,548,70,0
220,Aug 13 2019 20:30:05.099438000 MST,0.104811000,72,70,1
221,Aug 13 2019 20:30:07.114557000 MST,2.015119000,548,70,0
222,Aug 13 2019 20:30:07.178560000 MST,0.064003000,72,70,1
223,Aug 13 2019 20:30:07.182444000 MST,0.003884000,164,70,1
224,Aug 13 2019 20:30:07.214625000 MST,0.032181000,548,70,0
225,Aug 13 2019 20:30:07.319441000 MST,0.104816000,72,70,1
226,Aug 13 2019 20:30:08.174527000 MST,0.855086000,548,70,0
227,Aug 13 2019 20:30:08.238528000 MST,0.064001000,136,70,1
228,Aug 13 2019 20:30:08.256470000 MST,0.017942000,208,70,1
229,Aug 13 2019 20:30:08.274594000 MST,0.018124000,548,70,0
230,Aug 13 2019 20:30:08.338408000 MST,0.063814000,72,70,1
231,Aug 13 2019 20:30:08.342511000 MST,0.004103000,164,70,1
232,Aug 13 2019 20:30:08.357583000 MST,0.015072000,72,70,1
233,Aug 13 2019 20:30:08.374488000 MST,0.016905000,548,70,0
234,Aug 13 2019 20:30:08.483555000 MST,0.109067000,72,70,1
235,Aug 13 2019 20:30:10.603547000 MST,2.119992000,148,70,1
236,Aug 13 2019 20:30:10.610393000 MST,0.006846000,208,70,1
237,Aug 13 2019 20:30:10.634585000 MST,0.024192000,548,70,0
238,Aug 13 2019 20:30:10.643425000 MST,0.008840000,216,70,0
239,Aug 13 2019 20:30:10.674501000 MST,0.031076000,548,70,0
240,Aug 13 2019 20:30:10.698412000 MST,0.023911000,72,70,1
241,Aug 13 2019 20:30:10.706629000 MST,0.008217000,128,70,1
242,Aug 13 2019 20:30:10.707456000 MST,0.000827000,176,70,1
243,Aug 13 2019 20:30:10.749505000 MST,0.042049000,188,70,1
244,Aug 13 2019 20:30:10.774573000 MST,0.025068000,548,70,0
245,Aug 13 2019 20:30:10.895533000 MST,0.120960000,72,70,1
246,Aug 13 2019 20:30:13.954476000 MST,3.058943000,548,70,0
247,Aug 13 2019 20:30:14.018475000 MST,0.063999000,72,70,1
248,Aug 13 2019 20:30:14.022551000 MST,0.004076000,176,70,1
249,Aug 13 2019 20:30:14.054549000 MST,0.031998000,548,70,0
250,Aug 13 2019 20:30:14.159526000 MST,0.104977000,72,70,1
251,Aug 13 2019 20:30:15.434603000 MST,1.275077000,548,70,0
252,Aug 13 2019 20:30:15.498414000 MST,0.063811000,136,70,1
253,Aug 13 2019 20:30:15.515444000 MST,0.017030000,208,70,1
254,Aug 13 2019 20:30:15.534479000 MST,0.019035000,548,70,0
255,Aug 13 2019 20:30:15.643373000 MST,0.108894000,72,70,1
256,Aug 13 2019 20:30:27.614422000 MST,11.971049000,548,70,0
257,Aug 13 2019 20:30:27.678422000 MST,0.064000000,72,70,1
258,Aug 13 2019 20:30:27.685349000 MST,0.006927000,176,70,1
259,Aug 13 2019 20:30:27.714487000 MST,0.029138000,548,70,0
260,Aug 13 2019 20:30:27.819478000 MST,0.104991000,72,70,1
261,Aug 13 2019 20:30:29.714480000 MST,1.895002000,548,70,0
262,Aug 13 2019 20:30:29.778304000 MST,0.063824000,232,70,1
263,Aug 13 2019 20:30:29.834419000 MST,0.056115000,548,70,0
264,Aug 13 2019 20:30:31.174369000 MST,1.339950000,548,70,0
265,Aug 13 2019 20:30:31.186427000 MST,0.012058000,64,70,1
266,Aug 13 2019 20:30:31.314360000 MST,0.127933000,548,70,0
267,Aug 13 2019 20:30:31.326418000 MST,0.012058000,64,70,1
268,Aug 13 2019 20:30:31.748325000 MST,0.421907000,64,70,1
269,Aug 13 2019 20:30:31.794497000 MST,0.046172000,532,70,0
270,Aug 13 2019 20:30:31.807404000 MST,0.012907000,100,70,1
271,Aug 13 2019 20:30:31.808436000 MST,0.001032000,120,70,1
272,Aug 13 2019 20:30:31.834408000 MST,0.025972000,548,70,0
